"cole_depto_ubicacion","fami_estratovivienda","fami_personashogar","fami_tieneautomovil","fami_tienecomputador","fami_tieneinternet","fami_tienelavadora","punt_global"
"BOGOTÁ","Estrato 3","5 a 6","Si","Si","Si","Si","234"
"ANTIOQUIA","Estrato 5","3 a 4","Si","Si","Si","Si","382"
"VALLE","Estrato 2","1 a 2","No","Si","Si","Si","310"
"CAUCA","Estrato 3","3 a 4","Si","Si","Si","Si","260"
"LA GUAJIRA","Estrato 3","3 a 4","Si","Si","Si","Si","344"
"VALLE","Estrato 1","5 a 6","Si","Si","Si","Si","235"
"BOGOTÁ","Estrato 2","5 a 6","Si","Si","Si","Si","240"
"BOGOTÁ","Estrato 2","3 a 4","Si","Si","Si","Si","177"
"BOGOTÁ","Estrato 2","5 a 6","Si","Si","Si","Si","158"
"ATLANTICO","Estrato 4","7 a 8","Si","Si","Si","Si","365"
"RISARALDA","Estrato 6","5 a 6","Si","Si","Si","Si","362"
"VALLE","Estrato 3","5 a 6","No","Si","Si","Si","231"
"VALLE","Estrato 2","5 a 6","Si","Si","Si","Si","324"
"VALLE","Estrato 3","5 a 6","Si","Si","Si","Si","286"
"VALLE","Estrato 6","3 a 4","Si","Si","Si","Si","369"
"VALLE","Estrato 2","1 a 2","No","No","Si","Si","223"
"SANTANDER","Estrato 6","3 a 4","Si","Si","Si","Si","386"
"VALLE","Estrato 4","5 a 6","Si","Si","Si","Si","348"
"BOGOTÁ","Estrato 2","7 a 8","No","No","No","Si","210"
"CAUCA","Estrato 2","3 a 4","No","Si","Si","Si","286"
"CUNDINAMARCA","Estrato 4","3 a 4","Si","Si","Si","Si","329"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","293"
"VALLE","Estrato 3","3 a 4","No","Si","No","Si","198"
"VALLE","Estrato 2","5 a 6","Si","Si","Si","Si","262"
"VALLE","Estrato 6","5 a 6","Si","Si","Si","Si","372"
"BOGOTÁ","Estrato 6","5 a 6","Si","Si","Si","Si","316"
"BOGOTÁ","Estrato 5","1 a 2","Si","Si","Si","Si","323"
"ATLANTICO","Estrato 5","5 a 6","Si","Si","Si","Si","409"
"CUNDINAMARCA","Estrato 6","3 a 4","Si","Si","Si","Si","308"
"ATLANTICO","Estrato 3","3 a 4","No","No","No","Si","191"
"VALLE","Estrato 1","3 a 4","No","No","Si","Si","207"
"VALLE","Estrato 3","3 a 4","No","Si","Si","Si","252"
"BOGOTÁ","Estrato 2","1 a 2","No","No","No","Si","224"
"VALLE","Estrato 2","5 a 6","Si","Si","Si","Si","324"
"ANTIOQUIA","Estrato 6","3 a 4","Si","Si","Si","Si","280"
"CUNDINAMARCA","Estrato 4","3 a 4","Si","Si","Si","Si","339"
"VALLE","Estrato 5","1 a 2","Si","Si","Si","Si","278"
"ANTIOQUIA","Estrato 4","7 a 8","Si","Si","Si","Si","370"
"VALLE","Estrato 3","1 a 2","Si","Si","Si","Si","304"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","342"
"ANTIOQUIA","Estrato 2","3 a 4","No","No","No","No","191"
"BOGOTÁ","Estrato 1","3 a 4","No","Si","Si","Si","273"
"SANTANDER","Estrato 3","1 a 2","No","Si","Si","Si","275"
"BOGOTÁ","Estrato 3","1 a 2","No","Si","Si","Si","269"
"VALLE","Estrato 2","3 a 4","No","Si","Si","Si","275"
"VALLE","Estrato 2","3 a 4","Si","Si","Si","Si","327"
"VALLE","Estrato 6","3 a 4","Si","Si","Si","Si","333"
"VALLE","Estrato 4","5 a 6","Si","Si","Si","Si","202"
"NORTE SANTANDER","Estrato 2","1 a 2","No","Si","Si","Si","234"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","317"
"CUNDINAMARCA","Estrato 2","3 a 4","Si","Si","Si","Si","186"
"VALLE","Estrato 6","3 a 4","Si","Si","Si","Si","345"
"ATLANTICO","Estrato 6","5 a 6","Si","Si","Si","Si","360"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","352"
"BOGOTÁ","Estrato 3","5 a 6","No","No","No","Si","356"
"NARIÑO","Estrato 1","3 a 4","Si","Si","Si","Si","198"
"VALLE","Estrato 2","3 a 4","No","Si","Si","No","297"
"VALLE","Estrato 3","5 a 6","Si","Si","Si","Si","280"
"VALLE","Estrato 3","5 a 6","Si","Si","Si","Si","283"
"VALLE","Estrato 5","5 a 6","Si","Si","Si","Si","225"
"LA GUAJIRA","Estrato 3","5 a 6","No","No","No","Si","256"
"BOYACA","Estrato 1","5 a 6","No","No","No","No","309"
"CAQUETA","Estrato 1","3 a 4","No","No","No","No","215"
"BOGOTÁ","Estrato 2","5 a 6","Si","Si","Si","Si","180"
"ATLANTICO","Estrato 1","3 a 4","No","Si","Si","Si","220"
"VALLE","Estrato 2","5 a 6","Si","Si","Si","Si","325"
"BOLIVAR","Estrato 1","3 a 4","Si","Si","Si","Si","220"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","357"
"ANTIOQUIA","Estrato 6","3 a 4","Si","Si","Si","Si","259"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","375"
"BOYACA","Estrato 2","1 a 2","No","No","No","No","207"
"BOGOTÁ","Estrato 3","3 a 4","Si","No","Si","Si","315"
"BOGOTÁ","Estrato 2","3 a 4","No","No","No","Si","248"
"NARIÑO","Estrato 1","5 a 6","No","No","Si","No","166"
"VALLE","Estrato 3","3 a 4","No","No","Si","Si","299"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","262"
"ATLANTICO","Estrato 6","5 a 6","Si","Si","Si","Si","330"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","345"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","238"
"VALLE","Estrato 2","3 a 4","Si","Si","Si","Si","278"
"BOLIVAR","Estrato 6","3 a 4","Si","Si","Si","Si","388"
"CAUCA","Estrato 3","5 a 6","No","Si","Si","Si","258"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","374"
"ANTIOQUIA","Estrato 2","1 a 2","No","Si","No","Si","240"
"BOGOTÁ","Estrato 5","1 a 2","Si","Si","Si","Si","318"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","267"
"VALLE","Estrato 2","3 a 4","No","Si","Si","Si","292"
"ANTIOQUIA","Estrato 5","3 a 4","Si","Si","Si","Si","330"
"VALLE","Estrato 6","5 a 6","Si","Si","Si","Si","343"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","237"
"BOLIVAR","Estrato 1","7 a 8","No","Si","Si","Si","263"
"NORTE SANTANDER","Estrato 2","5 a 6","No","No","Si","Si","251"
"BOGOTÁ","Estrato 2","5 a 6","No","Si","Si","Si","267"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","377"
"CUNDINAMARCA","Estrato 3","3 a 4","Si","Si","Si","Si","300"
"RISARALDA","Estrato 6","3 a 4","Si","Si","Si","Si","292"
"VALLE","Estrato 3","3 a 4","No","Si","Si","Si","321"
"BOGOTÁ","Estrato 4","1 a 2","Si","Si","Si","Si","303"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","324"
"VALLE","Estrato 4","1 a 2","Si","Si","Si","Si","312"
"SANTANDER","Estrato 3","3 a 4","No","Si","Si","Si","209"
"BOGOTÁ","Estrato 3","7 a 8","Si","Si","Si","Si","264"
"BOGOTÁ","Estrato 2","1 a 2","No","Si","Si","Si","207"
"BOGOTÁ","Estrato 4","5 a 6","Si","Si","Si","Si","280"
"CAUCA","Estrato 4","7 a 8","Si","Si","Si","Si","340"
"SANTANDER","Estrato 5","3 a 4","Si","Si","Si","Si","333"
"BOGOTÁ","Estrato 5","5 a 6","Si","Si","Si","Si","245"
"VALLE","Estrato 4","3 a 4","No","Si","Si","Si","287"
"VALLE","Estrato 3","5 a 6","Si","Si","Si","Si","315"
"VALLE","Estrato 3","3 a 4","No","No","Si","No","217"
"CUNDINAMARCA","Estrato 1","1 a 2","No","No","Si","Si","218"
"BOGOTÁ","Estrato 2","5 a 6","Si","Si","No","Si","238"
"BOGOTÁ","Estrato 2","1 a 2","No","Si","Si","Si","220"
"TOLIMA","Estrato 2","3 a 4","No","Si","Si","No","260"
"CAUCA","Estrato 2","3 a 4","No","No","Si","Si","281"
"BOGOTÁ","Estrato 6","5 a 6","Si","Si","Si","Si","368"
"ANTIOQUIA","Estrato 6","3 a 4","Si","Si","Si","Si","314"
"ANTIOQUIA","Estrato 3","5 a 6","No","Si","Si","Si","242"
"BOGOTÁ","Estrato 4","5 a 6","Si","Si","Si","Si","326"
"VALLE","Estrato 2","3 a 4","No","Si","Si","Si","268"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","305"
"VALLE","Estrato 2","3 a 4","Si","Si","Si","Si","274"
"VALLE","Estrato 2","3 a 4","No","Si","Si","Si","210"
"ANTIOQUIA","Estrato 1","9 o más","No","No","No","No","206"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","327"
"ANTIOQUIA","Estrato 2","1 a 2","No","Si","Si","Si","260"
"VALLE","Estrato 2","3 a 4","No","Si","Si","Si","294"
"HUILA","Estrato 1","3 a 4","No","No","Si","Si","219"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","285"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","382"
"VALLE","Estrato 3","5 a 6","Si","Si","Si","Si","178"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","345"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","331"
"NORTE SANTANDER","Estrato 4","5 a 6","No","Si","Si","No","156"
"NARIÑO","Estrato 1","5 a 6","No","No","Si","Si","164"
"ATLANTICO","Estrato 6","3 a 4","Si","Si","Si","Si","272"
"HUILA","Estrato 3","1 a 2","No","No","No","No","179"
"BOGOTÁ","Estrato 2","3 a 4","Si","Si","Si","Si","298"
"CUNDINAMARCA","Estrato 5","3 a 4","Si","Si","Si","Si","308"
"BOGOTÁ","Estrato 4","5 a 6","Si","Si","Si","Si","199"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","308"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","355"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","343"
"VALLE","Estrato 3","7 a 8","Si","Si","Si","Si","228"
"ANTIOQUIA","Estrato 5","3 a 4","Si","Si","Si","Si","339"
"BOGOTÁ","Estrato 3","3 a 4","Si","Si","Si","Si","322"
"CESAR","Estrato 2","5 a 6","Si","Si","No","Si","154"
"NARIÑO","Estrato 3","3 a 4","Si","Si","Si","Si","331"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","375"
"BOGOTÁ","Estrato 4","1 a 2","Si","Si","Si","Si","255"
"SANTANDER","Estrato 1","3 a 4","Si","No","Si","Si","196"
"BOYACA","Estrato 3","5 a 6","No","Si","Si","Si","284"
"BOGOTÁ","Estrato 2","3 a 4","No","Si","Si","Si","288"
"CAUCA","Estrato 2","3 a 4","No","Si","Si","Si","253"
"VALLE","Estrato 3","5 a 6","Si","Si","Si","Si","314"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","278"
"BOGOTÁ","Estrato 3","3 a 4","No","Si","Si","Si","214"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","357"
"CALDAS","Estrato 6","3 a 4","Si","Si","Si","Si","360"
"META","Estrato 1","3 a 4","No","No","Si","Si","272"
"VALLE","Estrato 3","3 a 4","No","Si","Si","Si","310"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","329"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","382"
"BOLIVAR","Estrato 6","3 a 4","Si","Si","Si","Si","325"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","279"
"CAUCA","Estrato 2","3 a 4","No","No","Si","No","218"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","334"
"ATLANTICO","Estrato 6","3 a 4","Si","No","Si","Si","337"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","282"
"ANTIOQUIA","Estrato 4","5 a 6","Si","Si","Si","Si","369"
"CUNDINAMARCA","Estrato 6","3 a 4","Si","Si","Si","Si","309"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","292"
"BOGOTÁ","Estrato 2","3 a 4","No","No","Si","Si","280"
"BOGOTÁ","Estrato 1","3 a 4","No","Si","Si","Si","239"
"NARIÑO","Estrato 2","5 a 6","No","Si","Si","Si","300"
"QUINDIO","Estrato 5","3 a 4","Si","Si","Si","Si","343"
"VALLE","Estrato 3","5 a 6","Si","Si","Si","Si","307"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","387"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","302"
"BOGOTÁ","Estrato 3","5 a 6","No","Si","Si","Si","227"
"ANTIOQUIA","Estrato 4","7 a 8","No","Si","Si","Si","221"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","305"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","348"
"VALLE","Estrato 6","3 a 4","Si","Si","Si","Si","403"
"ATLANTICO","Estrato 2","3 a 4","Si","No","No","Si","197"
"ATLANTICO","Estrato 5","5 a 6","Si","Si","Si","Si","329"
"ARAUCA","Estrato 1","3 a 4","No","Si","Si","Si","270"
"VALLE","Estrato 4","1 a 2","Si","Si","Si","Si","358"
"VALLE","Estrato 3","5 a 6","No","Si","Si","Si","286"
"CUNDINAMARCA","Estrato 2","3 a 4","No","Si","Si","Si","260"
"CAUCA","Estrato 3","5 a 6","Si","Si","Si","Si","298"
"NARIÑO","Estrato 3","5 a 6","Si","Si","Si","Si","297"
"ATLANTICO","Estrato 6","5 a 6","Si","Si","Si","Si","305"
"ANTIOQUIA","Estrato 6","1 a 2","Si","Si","Si","Si","381"
"BOGOTÁ","Estrato 2","3 a 4","No","No","Si","No","192"
"VALLE","Estrato 5","1 a 2","Si","Si","Si","Si","322"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","301"
"BOGOTÁ","Estrato 4","5 a 6","Si","Si","Si","Si","360"
"BOGOTÁ","Estrato 4","3 a 4","No","No","Si","Si","208"
"CAUCA","Estrato 4","1 a 2","Si","Si","Si","Si","390"
"RISARALDA","Estrato 4","3 a 4","Si","Si","Si","Si","376"
"ANTIOQUIA","Estrato 5","5 a 6","Si","Si","Si","Si","365"
"VALLE","Estrato 3","3 a 4","No","Si","Si","Si","262"
"ANTIOQUIA","Estrato 2","3 a 4","No","No","Si","Si","277"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","322"
"VALLE","Estrato 3","3 a 4","No","Si","No","Si","265"
"BOGOTÁ","Estrato 3","1 a 2","No","Si","Si","Si","351"
"VALLE","Estrato 3","7 a 8","Si","No","Si","No","324"
"VALLE","Estrato 1","1 a 2","Si","Si","Si","Si","224"
"BOGOTÁ","Estrato 2","3 a 4","No","No","No","Si","316"
"VALLE","Estrato 2","3 a 4","No","No","Si","Si","192"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","357"
"MAGDALENA","Estrato 6","3 a 4","Si","Si","Si","Si","364"
"BOGOTÁ","Sin Estrato","3 a 4","Si","Si","Si","Si","361"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","357"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","233"
"BOGOTÁ","Estrato 2","1 a 2","No","Si","Si","Si","272"
"HUILA","Estrato 1","1 a 2","No","No","Si","Si","184"
"VALLE","Estrato 3","3 a 4","Si","No","No","Si","141"
"VALLE","Estrato 2","3 a 4","No","Si","Si","Si","283"
"VALLE","Estrato 3","5 a 6","No","Si","Si","Si","332"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","352"
"VALLE","Estrato 2","3 a 4","No","Si","Si","Si","182"
"BOGOTÁ","Estrato 3","5 a 6","No","Si","Si","Si","200"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","266"
"META","Estrato 3","5 a 6","Si","Si","Si","Si","233"
"CUNDINAMARCA","Estrato 3","3 a 4","Si","Si","Si","Si","258"
"CUNDINAMARCA","Estrato 6","3 a 4","Si","Si","Si","Si","290"
"NARIÑO","Estrato 3","5 a 6","Si","Si","Si","Si","220"
"VALLE","Estrato 5","5 a 6","Si","Si","Si","Si","322"
"CAUCA","Estrato 4","3 a 4","Si","Si","Si","Si","342"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","309"
"BOGOTÁ","Estrato 3","3 a 4","No","Si","Si","Si","193"
"VALLE","Estrato 2","3 a 4","No","Si","Si","Si","264"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","347"
"LA GUAJIRA","Estrato 5","5 a 6","No","Si","Si","No","163"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","317"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","291"
"HUILA","Estrato 2","5 a 6","No","No","Si","Si","240"
"ATLANTICO","Estrato 3","3 a 4","Si","No","Si","Si","182"
"VALLE","Estrato 5","5 a 6","Si","Si","Si","Si","310"
"BOGOTÁ","Estrato 2","3 a 4","No","Si","Si","Si","312"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","252"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","342"
"CUNDINAMARCA","Estrato 4","3 a 4","No","Si","Si","Si","252"
"BOGOTÁ","Estrato 3","5 a 6","Si","Si","Si","Si","202"
"NARIÑO","Estrato 2","5 a 6","No","Si","No","No","187"
"VALLE","Sin Estrato","3 a 4","Si","Si","Si","No","333"
"RISARALDA","Estrato 4","5 a 6","Si","Si","Si","Si","272"
"VALLE","Estrato 3","5 a 6","Si","Si","Si","Si","272"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","303"
"VALLE","Estrato 2","3 a 4","Si","No","Si","No","288"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","328"
"CASANARE","Estrato 2","3 a 4","No","Si","Si","No","267"
"VALLE","Estrato 3","3 a 4","No","Si","Si","Si","267"
"LA GUAJIRA","Estrato 1","1 a 2","No","No","No","No","182"
"VALLE","Estrato 6","5 a 6","Si","Si","Si","Si","344"
"CAUCA","Estrato 2","5 a 6","Si","Si","Si","Si","361"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","360"
"VALLE","Estrato 6","3 a 4","Si","Si","Si","Si","322"
"META","Estrato 2","3 a 4","No","Si","No","Si","189"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","395"
"VALLE","Estrato 1","3 a 4","Si","Si","Si","Si","273"
"VALLE","Estrato 5","3 a 4","No","Si","Si","Si","341"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","297"
"BOGOTÁ","Estrato 6","3 a 4","No","Si","Si","Si","358"
"VALLE","Estrato 4","1 a 2","Si","Si","Si","Si","322"
"CUNDINAMARCA","Estrato 3","3 a 4","Si","Si","Si","Si","172"
"VALLE","Estrato 2","3 a 4","No","Si","No","Si","219"
"CAUCA","Estrato 3","3 a 4","Si","Si","Si","Si","303"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","240"
"BOGOTÁ","Estrato 2","3 a 4","No","No","Si","Si","306"
"CUNDINAMARCA","Estrato 5","5 a 6","Si","Si","Si","Si","368"
"NARIÑO","Estrato 5","1 a 2","Si","Si","Si","Si","323"
"CESAR","Estrato 1","5 a 6","No","No","No","Si","210"
"SANTANDER","Estrato 2","3 a 4","Si","Si","Si","Si","208"
"CUNDINAMARCA","Estrato 4","3 a 4","Si","Si","Si","Si","298"
"BOGOTÁ","Estrato 6","5 a 6","Si","Si","Si","Si","375"
"VALLE","Estrato 5","5 a 6","Si","Si","Si","Si","268"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","216"
"ANTIOQUIA","Estrato 6","3 a 4","Si","Si","Si","Si","382"
"VALLE","Estrato 2","5 a 6","No","Si","Si","Si","327"
"CESAR","Estrato 2","3 a 4","No","No","No","No","172"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","308"
"VALLE","Estrato 3","5 a 6","Si","Si","Si","Si","303"
"VALLE","Estrato 2","5 a 6","No","No","Si","Si","193"
"VALLE","Estrato 3","1 a 2","Si","Si","Si","Si","297"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","309"
"VALLE","Estrato 4","5 a 6","No","Si","Si","Si","343"
"VALLE","Estrato 2","3 a 4","Si","No","Si","Si","264"
"VALLE","Estrato 4","5 a 6","Si","Si","Si","Si","228"
"META","Estrato 2","3 a 4","No","No","Si","Si","236"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","324"
"VALLE","Estrato 4","5 a 6","Si","Si","Si","Si","338"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","268"
"VALLE","Estrato 2","5 a 6","No","Si","Si","Si","338"
"VALLE","Estrato 5","9 o más","Si","Si","Si","Si","406"
"VALLE","Estrato 3","1 a 2","Si","Si","Si","Si","340"
"CALDAS","Estrato 4","3 a 4","Si","Si","Si","Si","396"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","410"
"ATLANTICO","Estrato 3","1 a 2","Si","Si","Si","Si","348"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","360"
"BOGOTÁ","Estrato 6","5 a 6","Si","Si","Si","Si","354"
"VALLE","Estrato 6","3 a 4","Si","Si","Si","Si","358"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","360"
"VALLE","Estrato 2","3 a 4","Si","Si","Si","Si","282"
"ANTIOQUIA","Estrato 3","3 a 4","No","Si","Si","Si","187"
"CESAR","Estrato 6","3 a 4","Si","Si","Si","Si","336"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","315"
"BOGOTÁ","Estrato 1","3 a 4","No","Si","Si","Si","261"
"BOYACA","Estrato 1","3 a 4","No","Si","Si","Si","272"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","285"
"VALLE","Estrato 6","3 a 4","Si","Si","Si","Si","347"
"ANTIOQUIA","Estrato 4","5 a 6","Si","Si","Si","Si","330"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","290"
"BOGOTÁ","Estrato 1","5 a 6","Si","Si","Si","Si","240"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","265"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","374"
"VALLE","Estrato 2","3 a 4","No","Si","Si","Si","252"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","341"
"NARIÑO","Estrato 2","3 a 4","Si","Si","Si","Si","295"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","320"
"ATLANTICO","Estrato 2","5 a 6","No","Si","Si","No","237"
"CUNDINAMARCA","Estrato 4","3 a 4","Si","Si","Si","Si","345"
"HUILA","Estrato 2","5 a 6","No","Si","Si","Si","193"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","280"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","343"
"VALLE","Estrato 3","5 a 6","Si","Si","Si","Si","303"
"VALLE","Estrato 4","5 a 6","Si","Si","Si","Si","372"
"PUTUMAYO","Estrato 2","3 a 4","No","No","Si","Si","239"
"VALLE","Estrato 3","7 a 8","Si","Si","Si","Si","243"
"CESAR","Estrato 1","3 a 4","No","No","Si","Si","166"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","360"
"NARIÑO","Estrato 1","3 a 4","No","Si","Si","No","277"
"BOGOTÁ","Estrato 3","7 a 8","Si","No","Si","Si","226"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","223"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","390"
"BOGOTÁ","Estrato 2","1 a 2","No","No","No","Si","245"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","351"
"VALLE","Estrato 2","5 a 6","Si","Si","Si","Si","341"
"CESAR","Estrato 1","1 a 2","Si","No","No","Si","162"
"SANTANDER","Estrato 4","3 a 4","No","Si","No","Si","289"
"BOLIVAR","Estrato 5","3 a 4","Si","Si","Si","Si","418"
"BOGOTÁ","Estrato 3","5 a 6","No","Si","Si","Si","291"
"VALLE","Estrato 3","1 a 2","No","Si","Si","No","335"
"CUNDINAMARCA","Estrato 2","3 a 4","No","No","No","Si","240"
"VALLE","Estrato 3","5 a 6","No","Si","Si","Si","315"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","360"
"MAGDALENA","Estrato 6","3 a 4","Si","Si","Si","Si","347"
"VALLE","Estrato 3","1 a 2","Si","Si","Si","Si","303"
"VALLE","Estrato 4","1 a 2","Si","Si","Si","Si","316"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","291"
"ATLANTICO","Estrato 6","3 a 4","Si","Si","Si","Si","331"
"CUNDINAMARCA","Estrato 4","3 a 4","Si","Si","Si","Si","319"
"BOGOTÁ","Estrato 2","3 a 4","No","Si","Si","Si","230"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","297"
"VALLE","Estrato 3","3 a 4","No","Si","Si","Si","218"
"SANTANDER","Estrato 6","1 a 2","Si","Si","Si","Si","339"
"RISARALDA","Estrato 4","1 a 2","Si","Si","Si","Si","161"
"CUNDINAMARCA","Estrato 2","3 a 4","Si","Si","Si","Si","365"
"VALLE","Estrato 1","3 a 4","No","No","No","Si","168"
"NARIÑO","Estrato 4","3 a 4","Si","Si","Si","Si","285"
"ANTIOQUIA","Estrato 1","5 a 6","No","Si","No","Si","202"
"VALLE","Estrato 3","9 o más","Si","Si","Si","Si","242"
"ATLANTICO","Estrato 5","3 a 4","No","Si","Si","Si","274"
"VALLE","Estrato 3","3 a 4","No","Si","Si","Si","230"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","292"
"ATLANTICO","Estrato 4","3 a 4","Si","Si","Si","Si","335"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","289"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","222"
"CAUCA","Estrato 1","5 a 6","Si","Si","Si","Si","263"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","200"
"ATLANTICO","Estrato 6","1 a 2","Si","Si","Si","Si","400"
"BOGOTÁ","Estrato 2","5 a 6","No","Si","Si","Si","194"
"BOGOTÁ","Estrato 6","3 a 4","No","Si","Si","Si","342"
"VALLE","Estrato 2","3 a 4","Si","Si","Si","Si","332"
"CUNDINAMARCA","Estrato 3","3 a 4","No","Si","Si","Si","267"
"ANTIOQUIA","Estrato 2","3 a 4","No","Si","Si","Si","232"
"CESAR","Estrato 1","5 a 6","No","No","No","No","155"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","348"
"BOGOTÁ","Estrato 2","5 a 6","No","Si","Si","Si","260"
"BOGOTÁ","Estrato 5","5 a 6","Si","Si","Si","Si","333"
"BOGOTÁ","Estrato 2","3 a 4","No","Si","Si","Si","155"
"VALLE","Estrato 2","3 a 4","No","Si","Si","Si","280"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","320"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","271"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","377"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","362"
"BOYACA","Estrato 4","5 a 6","Si","Si","Si","Si","320"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","296"
"VALLE","Estrato 6","3 a 4","Si","Si","Si","Si","382"
"VALLE","Estrato 4","5 a 6","Si","Si","Si","Si","330"
