"cole_depto_ubicacion","fami_estratovivienda","fami_personashogar","fami_tieneautomovil","fami_tienecomputador","fami_tieneinternet","fami_tienelavadora","punt_global"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","280"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","241"
"VALLE","Estrato 2","3 a 4","Si","Si","Si","Si","290"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","344"
"VALLE","Estrato 1","3 a 4","No","Si","No","No","324"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","376"
"META","Estrato 1","3 a 4","No","No","Si","No","215"
"MAGDALENA","Estrato 6","1 a 2","Si","Si","Si","Si","320"
"CUNDINAMARCA","Estrato 5","3 a 4","Si","Si","Si","Si","293"
"VALLE","Estrato 2","3 a 4","Si","Si","Si","Si","316"
"VALLE","Estrato 3","3 a 4","No","Si","Si","Si","257"
"CASANARE","Estrato 2","3 a 4","Si","Si","Si","Si","237"
"CUNDINAMARCA","Estrato 5","3 a 4","Si","Si","Si","Si","250"
"ANTIOQUIA","Estrato 6","5 a 6","Si","Si","Si","Si","354"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","368"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","313"
"CUNDINAMARCA","Estrato 2","3 a 4","No","Si","Si","Si","163"
"CAUCA","Estrato 3","7 a 8","Si","Si","Si","Si","242"
"ANTIOQUIA","Estrato 6","5 a 6","Si","Si","Si","Si","331"
"VALLE","Estrato 2","7 a 8","No","Si","Si","Si","291"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","289"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","356"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","265"
"BOGOTÁ","Estrato 3","3 a 4","No","Si","Si","Si","282"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","261"
"ATLANTICO","Estrato 6","5 a 6","Si","Si","Si","Si","311"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","352"
