cole_depto_ubicacion,fami_estratovivienda,fami_personashogar,fami_tieneautomovil,fami_tienecomputador,fami_tieneinternet,fami_tienelavadora,punt_global
BOGOTÁ,Estrato 2,3 a 4,No,No,Si,No,Rango de 48 a 238.0
VALLE,Estrato 2,3 a 4,Si,Si,Si,Si,Rango de 238.0 a 293.0
VALLE,Estrato 3,3 a 4,Si,Si,Si,Si,Rango de 293.0 a 337.0
VALLE,Estrato 5,5 a 6,Si,Si,Si,Si,Rango de 238.0 a 293.0
BOGOTÁ,Estrato 4,3 a 4,Si,Si,Si,Si,Rango de 293.0 a 337.0
ANTIOQUIA,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
VALLE,Estrato 2,3 a 4,No,Si,Si,Si,Rango de 337.0 a 476
CALDAS,Estrato 2,3 a 4,Si,Si,Si,Si,Rango de 238.0 a 293.0
VALLE,Estrato 2,3 a 4,Si,Si,Si,Si,Rango de 293.0 a 337.0
BOGOTÁ,Estrato 5,5 a 6,Si,Si,Si,Si,Rango de 293.0 a 337.0
BOGOTÁ,Estrato 3,3 a 4,No,No,Si,No,Rango de 238.0 a 293.0
CUNDINAMARCA,Estrato 4,5 a 6,Si,Si,Si,Si,Rango de 337.0 a 476
VALLE,Estrato 3,3 a 4,Si,Si,Si,Si,Rango de 48 a 238.0
CALDAS,Estrato 5,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
CAUCA,Estrato 2,3 a 4,No,No,Si,No,Rango de 238.0 a 293.0
RISARALDA,Estrato 6,1 a 2,Si,Si,Si,Si,Rango de 337.0 a 476
ANTIOQUIA,Estrato 6,5 a 6,Si,Si,Si,Si,Rango de 337.0 a 476
ANTIOQUIA,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
VALLE,Estrato 6,5 a 6,Si,Si,Si,Si,Rango de 293.0 a 337.0
VALLE,Estrato 4,3 a 4,Si,Si,Si,Si,Rango de 238.0 a 293.0
VALLE,Estrato 3,3 a 4,Si,Si,Si,Si,Rango de 238.0 a 293.0
VALLE,Estrato 2,3 a 4,Si,Si,Si,Si,Rango de 238.0 a 293.0
BOGOTÁ,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
VALLE,Estrato 1,3 a 4,No,Si,No,No,Rango de 293.0 a 337.0
VALLE,Estrato 3,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
META,Estrato 1,3 a 4,No,No,Si,No,Rango de 48 a 238.0
MAGDALENA,Estrato 6,1 a 2,Si,Si,Si,Si,Rango de 293.0 a 337.0
CUNDINAMARCA,Estrato 5,3 a 4,Si,Si,Si,Si,Rango de 238.0 a 293.0
VALLE,Estrato 2,3 a 4,Si,Si,Si,Si,Rango de 293.0 a 337.0
VALLE,Estrato 3,3 a 4,No,Si,Si,Si,Rango de 238.0 a 293.0
CASANARE,Estrato 2,3 a 4,Si,Si,Si,Si,Rango de 48 a 238.0
CUNDINAMARCA,Estrato 5,3 a 4,Si,Si,Si,Si,Rango de 238.0 a 293.0
ANTIOQUIA,Estrato 6,5 a 6,Si,Si,Si,Si,Rango de 337.0 a 476
BOGOTÁ,Estrato 4,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
BOGOTÁ,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 293.0 a 337.0
CUNDINAMARCA,Estrato 2,3 a 4,No,Si,Si,Si,Rango de 48 a 238.0
CAUCA,Estrato 3,7 a 8,Si,Si,Si,Si,Rango de 238.0 a 293.0
ANTIOQUIA,Estrato 6,5 a 6,Si,Si,Si,Si,Rango de 293.0 a 337.0
VALLE,Estrato 2,7 a 8,No,Si,Si,Si,Rango de 238.0 a 293.0
BOGOTÁ,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 238.0 a 293.0
BOGOTÁ,Estrato 5,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
VALLE,Estrato 3,3 a 4,Si,Si,Si,Si,Rango de 238.0 a 293.0
BOGOTÁ,Estrato 3,3 a 4,No,Si,Si,Si,Rango de 238.0 a 293.0
VALLE,Estrato 3,3 a 4,Si,Si,Si,Si,Rango de 238.0 a 293.0
ATLANTICO,Estrato 6,5 a 6,Si,Si,Si,Si,Rango de 293.0 a 337.0
